,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Age_exists
279,1,3,1,35,1,1,20.25,S,TRUE
280,0,3,0,65,0,0,7.75,Q,TRUE
281,0,3,0,28,0,0,7.8542,S,TRUE
282,0,3,0,16,0,0,9.5,S,TRUE
283,1,3,0,19,0,0,8.05,S,TRUE
284,0,1,0,,0,0,26,S,FALSE
285,0,3,0,33,0,0,8.6625,C,TRUE
286,1,3,0,30,0,0,9.5,S,TRUE
287,0,3,0,22,0,0,7.8958,S,TRUE
288,1,2,0,42,0,0,13,S,TRUE
289,1,3,1,22,0,0,7.75,Q,TRUE
290,1,1,1,26,0,0,78.85,S,TRUE
291,1,1,1,19,1,0,91.0792,C,TRUE
292,0,2,0,36,0,0,12.875,C,TRUE
293,0,3,1,24,0,0,8.85,S,TRUE
294,0,3,0,24,0,0,7.8958,S,TRUE
295,0,1,0,,0,0,27.7208,C,FALSE
296,0,3,0,23.5,0,0,7.2292,C,TRUE
297,0,1,1,2,1,2,151.55,S,TRUE
298,1,1,0,,0,0,30.5,S,FALSE
299,1,1,1,50,0,1,247.5208,C,TRUE
300,1,3,1,,0,0,7.75,Q,FALSE
301,1,3,0,,2,0,23.25,Q,FALSE
302,0,3,0,19,0,0,0,S,TRUE
303,1,2,1,,0,0,12.35,Q,FALSE
304,0,3,0,,0,0,8.05,S,FALSE
305,1,1,0,0.92,1,2,151.55,S,TRUE
306,1,1,1,,0,0,110.8833,C,FALSE
307,1,1,1,17,1,0,108.9,C,TRUE
308,0,2,0,30,1,0,24,C,TRUE
309,1,1,1,30,0,0,56.9292,C,TRUE
310,1,1,1,24,0,0,83.1583,C,TRUE
311,1,1,1,18,2,2,262.375,C,TRUE
312,0,2,1,26,1,1,26,S,TRUE
313,0,3,0,28,0,0,7.8958,S,TRUE
314,0,2,0,43,1,1,26.25,S,TRUE
315,1,3,1,26,0,0,7.8542,S,TRUE
316,1,2,1,24,1,0,26,S,TRUE
317,0,2,0,54,0,0,14,S,TRUE
318,1,1,1,31,0,2,164.8667,S,TRUE
319,1,1,1,40,1,1,134.5,C,TRUE
320,0,3,0,22,0,0,7.25,S,TRUE
321,0,3,0,27,0,0,7.8958,S,TRUE
322,1,2,1,30,0,0,12.35,Q,TRUE
323,1,2,1,22,1,1,29,S,TRUE
324,0,3,0,,8,2,69.55,S,FALSE
325,1,1,1,36,0,0,135.6333,C,TRUE
326,0,3,0,61,0,0,6.2375,S,TRUE
327,1,2,1,36,0,0,13,S,TRUE
328,1,3,1,31,1,1,20.525,S,TRUE
329,1,1,1,16,0,1,57.9792,C,TRUE
330,1,3,1,,2,0,23.25,Q,FALSE
331,0,1,0,45.5,0,0,28.5,S,TRUE
332,0,1,0,38,0,1,153.4625,S,TRUE
333,0,3,0,16,2,0,18,S,TRUE
334,1,1,1,,1,0,133.65,S,FALSE
335,0,3,0,,0,0,7.8958,S,FALSE
336,0,1,0,29,1,0,66.6,S,TRUE
337,1,1,1,41,0,0,134.5,C,TRUE
338,1,3,0,45,0,0,8.05,S,TRUE
339,0,1,0,45,0,0,35.5,S,TRUE
340,1,2,0,2,1,1,26,S,TRUE
341,1,1,1,24,3,2,263,S,TRUE
342,0,2,0,28,0,0,13,S,TRUE
343,0,2,0,25,0,0,13,S,TRUE
344,0,2,0,36,0,0,13,S,TRUE
345,1,2,1,24,0,0,13,S,TRUE
346,1,2,1,40,0,0,13,S,TRUE
347,1,3,1,,1,0,16.1,S,FALSE
348,1,3,0,3,1,1,15.9,S,TRUE
349,0,3,0,42,0,0,8.6625,S,TRUE
350,0,3,0,23,0,0,9.225,S,TRUE
351,0,1,0,,0,0,35,S,FALSE
352,0,3,0,15,1,1,7.2292,C,TRUE
353,0,3,0,25,1,0,17.8,S,TRUE
354,0,3,0,,0,0,7.225,C,FALSE
355,0,3,0,28,0,0,9.5,S,TRUE
356,1,1,1,22,0,1,55,S,TRUE
357,0,2,1,38,0,0,13,S,TRUE
358,1,3,1,,0,0,7.8792,Q,FALSE
359,1,3,1,,0,0,7.8792,Q,FALSE
360,0,3,0,40,1,4,27.9,S,TRUE
361,0,2,0,29,1,0,27.7208,C,TRUE
362,0,3,1,45,0,1,14.4542,C,TRUE
363,0,3,0,35,0,0,7.05,S,TRUE
364,0,3,0,,1,0,15.5,Q,FALSE
365,0,3,0,30,0,0,7.25,S,TRUE
366,1,1,1,60,1,0,75.25,C,TRUE
367,1,3,1,,0,0,7.2292,C,FALSE
368,1,3,1,,0,0,7.75,Q,FALSE
369,1,1,1,24,0,0,69.3,C,TRUE
370,1,1,0,25,1,0,55.4417,C,TRUE
371,0,3,0,18,1,0,6.4958,S,TRUE
372,0,3,0,19,0,0,8.05,S,TRUE
373,0,1,0,22,0,0,135.6333,C,TRUE
374,0,3,1,3,3,1,21.075,S,TRUE
375,1,1,1,,1,0,82.1708,C,FALSE
376,1,3,1,22,0,0,7.25,S,TRUE
377,0,1,0,27,0,2,211.5,C,TRUE
378,0,3,0,20,0,0,4.0125,C,TRUE
379,0,3,0,19,0,0,7.775,S,TRUE
380,1,1,1,42,0,0,227.525,C,TRUE
381,1,3,1,1,0,2,15.7417,C,TRUE
382,0,3,0,32,0,0,7.925,S,TRUE
383,1,1,1,35,1,0,52,S,TRUE
384,0,3,0,,0,0,7.8958,S,FALSE
385,0,2,0,18,0,0,73.5,S,TRUE
386,0,3,0,1,5,2,46.9,S,TRUE
387,1,2,1,36,0,0,13,S,TRUE
388,0,3,0,,0,0,7.7292,Q,FALSE
389,1,2,1,17,0,0,12,C,TRUE
390,1,1,0,36,1,2,120,S,TRUE
391,1,3,0,21,0,0,7.7958,S,TRUE
392,0,3,0,28,2,0,7.925,S,TRUE
393,1,1,1,23,1,0,113.275,C,TRUE
394,1,3,1,24,0,2,16.7,S,TRUE
395,0,3,0,22,0,0,7.7958,S,TRUE
396,0,3,1,31,0,0,7.8542,S,TRUE
397,0,2,0,46,0,0,26,S,TRUE
398,0,2,0,23,0,0,10.5,S,TRUE
399,1,2,1,28,0,0,12.65,S,TRUE
400,1,3,0,39,0,0,7.925,S,TRUE
401,0,3,0,26,0,0,8.05,S,TRUE
402,0,3,1,21,1,0,9.825,S,TRUE
403,0,3,0,28,1,0,15.85,S,TRUE
404,0,3,1,20,0,0,8.6625,S,TRUE
405,0,2,0,34,1,0,21,S,TRUE
406,0,3,0,51,0,0,7.75,S,TRUE
407,1,2,0,3,1,1,18.75,S,TRUE
408,0,3,0,21,0,0,7.775,S,TRUE
409,0,3,1,,3,1,25.4667,S,FALSE
410,0,3,0,,0,0,7.8958,S,FALSE
411,0,3,0,,0,0,6.8583,Q,FALSE
412,1,1,1,33,1,0,90,Q,TRUE
413,0,2,0,,0,0,0,S,FALSE
414,1,3,0,44,0,0,7.925,S,TRUE
415,0,3,1,,0,0,8.05,S,FALSE
416,1,2,1,34,1,1,32.5,S,TRUE
417,1,2,1,18,0,2,13,S,TRUE
418,0,2,0,30,0,0,13,S,TRUE
419,0,3,1,10,0,2,24.15,S,TRUE
420,0,3,0,,0,0,7.8958,C,FALSE
421,0,3,0,21,0,0,7.7333,Q,TRUE
422,0,3,0,29,0,0,7.875,S,TRUE
423,0,3,1,28,1,1,14.4,S,TRUE
424,0,3,0,18,1,1,20.2125,S,TRUE
425,0,3,0,,0,0,7.25,S,FALSE
426,1,2,1,28,1,0,26,S,TRUE
427,1,2,1,19,0,0,26,S,TRUE
428,0,3,0,,0,0,7.75,Q,FALSE
429,1,3,0,32,0,0,8.05,S,TRUE
430,1,1,0,28,0,0,26.55,S,TRUE
431,1,3,1,,1,0,16.1,S,FALSE
432,1,2,1,42,1,0,26,S,TRUE
433,0,3,0,17,0,0,7.125,S,TRUE
434,0,1,0,50,1,0,55.9,S,TRUE
435,1,1,1,14,1,2,120,S,TRUE
436,0,3,1,21,2,2,34.375,S,TRUE
437,1,2,1,24,2,3,18.75,S,TRUE
438,0,1,0,64,1,4,263,S,TRUE
439,0,2,0,31,0,0,10.5,S,TRUE
440,1,2,1,45,1,1,26.25,S,TRUE
441,0,3,0,20,0,0,9.5,S,TRUE
442,0,3,0,25,1,0,7.775,S,TRUE
443,1,2,1,28,0,0,13,S,TRUE
444,1,3,0,,0,0,8.1125,S,FALSE
445,1,1,0,4,0,2,81.8583,S,TRUE
446,1,2,1,13,0,1,19.5,S,TRUE
447,1,1,0,34,0,0,26.55,S,TRUE
448,1,3,1,5,2,1,19.2583,C,TRUE
449,1,1,0,52,0,0,30.5,S,TRUE
450,0,2,0,36,1,2,27.75,S,TRUE
451,0,3,0,,1,0,19.9667,S,FALSE
452,0,1,0,30,0,0,27.75,C,TRUE
453,1,1,0,49,1,0,89.1042,C,TRUE
454,0,3,0,,0,0,8.05,S,FALSE
455,1,3,0,29,0,0,7.8958,C,TRUE
456,0,1,0,65,0,0,26.55,S,TRUE
457,1,1,1,,1,0,51.8625,S,FALSE
458,1,2,1,50,0,0,10.5,S,TRUE
459,0,3,0,,0,0,7.75,Q,FALSE
460,1,1,0,48,0,0,26.55,S,TRUE
461,0,3,0,34,0,0,8.05,S,TRUE
462,0,1,0,47,0,0,38.5,S,TRUE
463,0,2,0,48,0,0,13,S,TRUE
464,0,3,0,,0,0,8.05,S,FALSE
465,0,3,0,38,0,0,7.05,S,TRUE
466,0,2,0,,0,0,0,S,FALSE
467,0,1,0,56,0,0,26.55,S,TRUE
468,0,3,0,,0,0,7.725,Q,FALSE
469,1,3,1,0.75,2,1,19.2583,C,TRUE
470,0,3,0,,0,0,7.25,S,FALSE
471,0,3,0,38,0,0,8.6625,S,TRUE
472,1,2,1,33,1,2,27.75,S,TRUE
473,1,2,1,23,0,0,13.7917,C,TRUE
474,0,3,1,22,0,0,9.8375,S,TRUE
475,0,1,0,,0,0,52,S,FALSE
476,0,2,0,34,1,0,21,S,TRUE
477,0,3,0,29,1,0,7.0458,S,TRUE
478,0,3,0,22,0,0,7.5208,S,TRUE
479,1,3,1,2,0,1,12.2875,S,TRUE
480,0,3,0,9,5,2,46.9,S,TRUE
481,0,2,0,,0,0,0,S,FALSE
482,0,3,0,50,0,0,8.05,S,TRUE
483,1,3,1,63,0,0,9.5875,S,TRUE
484,1,1,0,25,1,0,91.0792,C,TRUE
485,0,3,1,,3,1,25.4667,S,FALSE
486,1,1,1,35,1,0,90,S,TRUE
487,0,1,0,58,0,0,29.7,C,TRUE
488,0,3,0,30,0,0,8.05,S,TRUE
489,1,3,0,9,1,1,15.9,S,TRUE
490,0,3,0,,1,0,19.9667,S,FALSE
491,0,3,0,21,0,0,7.25,S,TRUE
492,0,1,0,55,0,0,30.5,S,TRUE
493,0,1,0,71,0,0,49.5042,C,TRUE
494,0,3,0,21,0,0,8.05,S,TRUE
495,0,3,0,,0,0,14.4583,C,FALSE
496,1,1,1,54,1,0,78.2667,C,TRUE
497,0,3,0,,0,0,15.1,S,FALSE
498,0,1,1,25,1,2,151.55,S,TRUE
499,0,3,0,24,0,0,7.7958,S,TRUE
500,0,3,0,17,0,0,8.6625,S,TRUE
501,0,3,1,21,0,0,7.75,Q,TRUE
502,0,3,1,,0,0,7.6292,Q,FALSE
503,0,3,1,37,0,0,9.5875,S,TRUE
504,1,1,1,16,0,0,86.5,S,TRUE
505,0,1,0,18,1,0,108.9,C,TRUE
506,1,2,1,33,0,2,26,S,TRUE
507,1,1,0,,0,0,26.55,S,FALSE
508,0,3,0,28,0,0,22.525,S,TRUE
509,1,3,0,26,0,0,56.4958,S,TRUE
510,1,3,0,29,0,0,7.75,Q,TRUE
511,0,3,0,,0,0,8.05,S,FALSE
512,1,1,0,36,0,0,26.2875,S,TRUE
513,1,1,1,54,1,0,59.4,C,TRUE
514,0,3,0,24,0,0,7.4958,S,TRUE
515,0,1,0,47,0,0,34.0208,S,TRUE
516,1,2,1,34,0,0,10.5,S,TRUE
517,0,3,0,,0,0,24.15,Q,FALSE
518,1,2,1,36,1,0,26,S,TRUE
519,0,3,0,32,0,0,7.8958,S,TRUE
520,1,1,1,30,0,0,93.5,S,TRUE
521,0,3,0,22,0,0,7.8958,S,TRUE
522,0,3,0,,0,0,7.225,C,FALSE
523,1,1,1,44,0,1,57.9792,C,TRUE
524,0,3,0,,0,0,7.2292,C,FALSE
525,0,3,0,40.5,0,0,7.75,Q,TRUE
526,1,2,1,50,0,0,10.5,S,TRUE
527,0,1,0,,0,0,221.7792,S,FALSE
528,0,3,0,39,0,0,7.925,S,TRUE
529,0,2,0,23,2,1,11.5,S,TRUE
530,1,2,1,2,1,1,26,S,TRUE
531,0,3,0,,0,0,7.2292,C,FALSE
532,0,3,0,17,1,1,7.2292,C,TRUE
533,1,3,1,,0,2,22.3583,C,FALSE
534,0,3,1,30,0,0,8.6625,S,TRUE
535,1,2,1,7,0,2,26.25,S,TRUE
536,0,1,0,45,0,0,26.55,S,TRUE
537,1,1,1,30,0,0,106.425,C,TRUE
538,0,3,0,,0,0,14.5,S,FALSE
539,1,1,1,22,0,2,49.5,C,TRUE
540,1,1,1,36,0,2,71,S,TRUE
541,0,3,1,9,4,2,31.275,S,TRUE
542,0,3,1,11,4,2,31.275,S,TRUE
543,1,2,0,32,1,0,26,S,TRUE
544,0,1,0,50,1,0,106.425,C,TRUE
545,0,1,0,64,0,0,26,S,TRUE
546,1,2,1,19,1,0,26,S,TRUE
547,1,2,0,,0,0,13.8625,C,FALSE
548,0,3,0,33,1,1,20.525,S,TRUE
549,1,2,0,8,1,1,36.75,S,TRUE
550,1,1,0,17,0,2,110.8833,C,TRUE
551,0,2,0,27,0,0,26,S,TRUE
552,0,3,0,,0,0,7.8292,Q,FALSE
553,1,3,0,22,0,0,7.225,C,TRUE
554,1,3,1,22,0,0,7.775,S,TRUE
555,0,1,0,62,0,0,26.55,S,TRUE
556,1,1,1,48,1,0,39.6,C,TRUE
557,0,1,0,,0,0,227.525,C,FALSE
